Episode: 76 | Reward: 9.0 | Q Loss: 0.6972619295120239 | Steps: 1265
Episode: 77 | Reward: 23.0 | Q Loss: 0.697070837020874 | Steps: 1288
Episode: 78 | Reward: 18.0 | Q Loss: 0.6939409375190735 | Steps: 1306
Episode: 79 | Reward: 9.0 | Q Loss: 0.6991775035858154 | Steps: 1315
Episode: 80 | Reward: 28.0 | Q Loss: 0.6943005323410034 | Steps: 1343
Episode: 81 | Reward: 15.0 | Q Loss: 0.696810781955719 | Steps: 1358
Episode: 82 | Reward: 9.0 | Q Loss: 0.6950008869171143 | Steps: 1367
Episode: 83 | Reward: 9.0 | Q Loss: 0.7018964290618896 | Steps: 1376
Episode: 84 | Reward: 21.0 | Q Loss: 0.6997838020324707 | Steps: 1397
Episode: 85 | Reward: 27.0 | Q Loss: 0.6946337819099426 | Steps: 1424
Episode: 86 | Reward: 10.0 | Q Loss: 0.6964869499206543 | Steps: 1434
Episode: 87 | Reward: 18.0 | Q Loss: 0.698390543460846 | Steps: 1452
Episode: 88 | Reward: 14.0 | Q Loss: 0.6995692849159241 | Steps: 1466
Episode: 89 | Reward: 13.0 | Q Loss: 0.7025017142295837 | Steps: 1479
Episode: 90 | Reward: 41.0 | Q Loss: 0.6961323022842407 | Steps: 1520
Episode: 91 | Reward: 12.0 | Q Loss: 0.6945408582687378 | Steps: 1532
Episode: 92 | Reward: 10.0 | Q Loss: 0.7009347677230835 | Steps: 1542
Episode: 93 | Reward: 47.0 | Q Loss: 0.704001247882843 | Steps: 1589
Episode: 94 | Reward: 27.0 | Q Loss: 0.700840175151825 | Steps: 1616
Episode: 95 | Reward: 22.0 | Q Loss: 0.7041673064231873 | Steps: 1638
Episode: 96 | Reward: 11.0 | Q Loss: 0.7031810283660889 | Steps: 1649
Episode: 97 | Reward: 9.0 | Q Loss: 0.697065532207489 | Steps: 1658
Episode: 98 | Reward: 38.0 | Q Loss: 0.7018540501594543 | Steps: 1696
Episode: 99 | Reward: 19.0 | Q Loss: 0.6991627812385559 | Steps: 1715
Episode: 100 | Reward: 21.0 | Q Loss: 0.7037339806556702 | Steps: 1736
Episode: 101 | Reward: 14.0 | Q Loss: 0.6993507742881775 | Steps: 1750
Episode: 102 | Reward: 21.0 | Q Loss: 0.6984420418739319 | Steps: 1771
Episode: 103 | Reward: 12.0 | Q Loss: 0.696160614490509 | Steps: 1783
Episode: 104 | Reward: 11.0 | Q Loss: 0.7074257135391235 | Steps: 1794
Episode: 105 | Reward: 10.0 | Q Loss: 0.7004993557929993 | Steps: 1804
Episode: 106 | Reward: 13.0 | Q Loss: 0.6992738246917725 | Steps: 1817
Episode: 107 | Reward: 11.0 | Q Loss: 0.7069726586341858 | Steps: 1828
Episode: 108 | Reward: 18.0 | Q Loss: 0.700316846370697 | Steps: 1846
Episode: 109 | Reward: 19.0 | Q Loss: 0.6963043808937073 | Steps: 1865
Episode: 110 | Reward: 23.0 | Q Loss: 0.6992933750152588 | Steps: 1888
Episode: 111 | Reward: 24.0 | Q Loss: 0.7015208005905151 | Steps: 1912
Episode: 112 | Reward: 47.0 | Q Loss: 0.7019601464271545 | Steps: 1959
Episode: 113 | Reward: 12.0 | Q Loss: 0.7047457695007324 | Steps: 1971
Episode: 114 | Reward: 13.0 | Q Loss: 0.6990624666213989 | Steps: 1984
Episode: 115 | Reward: 13.0 | Q Loss: 0.6989843249320984 | Steps: 1997
Episode: 116 | Reward: 10.0 | Q Loss: 0.7011668682098389 | Steps: 2007
Episode: 117 | Reward: 10.0 | Q Loss: 0.695949137210846 | Steps: 2017
Episode: 118 | Reward: 11.0 | Q Loss: 0.7086920738220215 | Steps: 2028
Episode: 119 | Reward: 10.0 | Q Loss: 0.7088730335235596 | Steps: 2038
Episode: 120 | Reward: 17.0 | Q Loss: 0.7014778256416321 | Steps: 2055
Episode: 121 | Reward: 19.0 | Q Loss: 0.7140706777572632 | Steps: 2074
Episode: 122 | Reward: 9.0 | Q Loss: 0.7139086127281189 | Steps: 2083
Episode: 123 | Reward: 46.0 | Q Loss: 0.7179015278816223 | Steps: 2129
Episode: 124 | Reward: 9.0 | Q Loss: 0.7088049054145813 | Steps: 2138
Episode: 125 | Reward: 29.0 | Q Loss: 0.6940945386886597 | Steps: 2167
Episode: 126 | Reward: 10.0 | Q Loss: 0.6940571665763855 | Steps: 2177
Episode: 127 | Reward: 10.0 | Q Loss: 0.7008729577064514 | Steps: 2187
Episode: 128 | Reward: 11.0 | Q Loss: 0.7092018723487854 | Steps: 2198
Episode: 129 | Reward: 25.0 | Q Loss: 0.6974343657493591 | Steps: 2223
Episode: 130 | Reward: 18.0 | Q Loss: 0.6962549686431885 | Steps: 2241
Episode: 131 | Reward: 10.0 | Q Loss: 0.6995771527290344 | Steps: 2251
Episode: 132 | Reward: 68.0 | Q Loss: 0.7023543119430542 | Steps: 2319
Episode: 133 | Reward: 8.0 | Q Loss: 0.7072248458862305 | Steps: 2327
Episode: 134 | Reward: 21.0 | Q Loss: 0.716110348701477 | Steps: 2348
Episode: 135 | Reward: 16.0 | Q Loss: 0.7089883089065552 | Steps: 2364
Episode: 136 | Reward: 23.0 | Q Loss: 0.7016814947128296 | Steps: 2387
Episode: 137 | Reward: 11.0 | Q Loss: 0.7056887149810791 | Steps: 2398
